EUD01_01,EUD01_02,EUD01_03,EUD01_04,EUD01_05,EUD01_06,EUD01_07,EUD01_08,EUD01_09,EUD01_96,EUD01_97,EUD01_99,id,Generation,HH02,HH03,HH04,IN02,IN05,SI03_3_H,PB01_mod,S01_mod,SI06_mod,HLS02_mod,DHO01_mod,DEGURBA_mod,DHE01_mod,DHE02_mod,DHE03_mod,DHE04_mod,RA04_mod,VV10,res_stat_mod_1,arop_mod,RA03,VH01a,DO27_mod
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,625.0,1.0,41.0,1.0,1.0,8.0,154.0,10.0,1.0,0,0,0,0,3.0,4.0,0,3.0,1,0,0.0,0,,2.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,639.0,1.0,54.0,1.0,1.0,8.0,95.0,17.0,1.0,1,1,1,0,3.0,5.0,0,3.0,1,1,0.0,1,,7.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,640.0,1.0,32.0,1.0,1.0,8.0,154.0,13.0,1.0,0,1,0,1,3.0,5.0,0,3.0,1,0,1.0,0,,9.0,5.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,641.0,1.0,30.0,1.0,4.0,8.0,153.0,11.0,1.0,1,1,0,0,3.0,5.0,0,3.0,1,0,0.0,0,,9.0,0.0,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.0,1.0,38.0,1.0,4.0,8.0,154.0,1.0,1.0,1,0,0,0,3.0,5.0,0,3.0,1,0,2.0,0,,9.0,14.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,1.0,36.0,1.0,10.0,8.0,154.0,14.0,1.0,1,0,0,0,3.0,3.0,0,3.0,0,0,2.0,0,,9.0,9.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0,1.0,37.0,1.0,10.0,8.0,154.0,13.0,1.0,1,0,0,0,3.0,5.0,0,3.0,1,1,2.0,0,,9.0,8.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.0,1.0,22.0,1.0,10.0,8.0,154.0,1.0,1.0,0,0,0,0,3.0,5.0,0,3.0,0,0,2.0,0,,7.0,9.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,1.0,28.0,1.0,10.0,8.0,154.0,1.0,1.0,0,0,0,1,3.0,5.0,0,3.0,1,1,2.0,0,,9.0,12.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,1.0,25.0,1.0,10.0,8.0,154.0,1.0,2.0,0,0,0,0,3.0,5.0,0,3.0,0,0,2.0,0,,7.0,6.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,666.0,1.0,26.0,1.0,10.0,8.0,124.0,1.0,1.0,0,0,0,0,3.0,5.0,0,3.0,0,0,1.0,0,,3.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,1.0,30.0,1.0,4.0,8.0,154.0,7.0,1.0,0,1,0,0,3.0,2.0,1,1.0,0,0,0.0,1,,3.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0,1.0,25.0,2.0,4.0,8.0,154.0,6.0,0.0,0,0,0,0,3.0,3.0,0,2.0,0,0,0.0,0,,12.0,6.0,0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.0,1.0,26.0,1.0,4.0,8.0,146.0,13.0,2.0,1,0,0,1,3.0,5.0,0,3.0,0,0,1.0,0,,10.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,1.0,28.0,1.0,4.0,8.0,154.0,13.0,1.0,1,0,0,0,3.0,3.0,0,3.0,0,0,0.0,0,,9.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,1.0,30.0,1.0,4.0,8.0,154.0,15.0,1.0,1,0,0,0,3.0,4.0,0,3.0,0,0,1.0,0,,10.0,13.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,682.0,1.0,29.0,1.0,4.0,8.0,154.0,12.0,2.0,0,0,0,1,3.0,4.0,0,3.0,0,0,0.0,0,,10.0,5.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,1.0,28.0,1.0,4.0,8.0,154.0,15.0,1.0,1,0,0,0,3.0,3.0,0,3.0,0,0,0.0,0,,8.0,15.0,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,687.0,1.0,26.0,1.0,4.0,8.0,154.0,11.0,1.0,0,0,0,0,3.0,5.0,0,3.0,0,0,1.0,0,,11.0,4.0,1
